customer_id,signup_date,segment,company_size,industry,tier,price_offered,discount_type,discount_percent,final_price,converted,engagement_score
CUST-00035,2023-03-09,smb,11-50,Healthcare,Pro,69,none,0.0,69.0,False,53.10327761842787
CUST-00036,2022-12-15,smb,11-50,Healthcare,Pro,69,early_bird,0.15,58.65,False,59.096615578901066
CUST-00037,2022-10-12,startup,1-10,Retail,Basic,24,annual_upfront,0.25,18.0,False,60.05093729481652
CUST-00038,2022-06-09,startup,1-10,Technology,Basic,29,none,0.0,29.0,False,11.066741256943665
CUST-00039,2022-08-09,startup,1-10,Other,Basic,29,seasonal,0.2,23.200000000000003,False,58.64521903282805
CUST-00040,2022-12-11,smb,11-50,Healthcare,Pro,89,retention,0.3,62.3,False,86.569333072458
CUST-00041,2022-04-15,startup,1-10,Technology,Basic,34,seasonal,0.2,27.200000000000003,True,10.974555788098746
CUST-00042,2022-04-05,startup,1-10,Retail,Basic,24,annual_upfront,0.25,18.0,True,61.65551924727751
CUST-00043,2023-01-25,startup,1-10,Other,Basic,39,annual_upfront,0.25,29.25,False,40.64852701400317
CUST-00044,2022-04-10,mid_market,51-200,Healthcare,Pro,99,none,0.0,99.0,False,87.39383292473526
CUST-00045,2023-01-03,mid_market,51-200,Retail,Enterprise,179,annual_upfront,0.25,134.25,False,54.74262796849415
CUST-00046,2022-12-19,smb,11-50,Other,Basic,34,none,0.0,34.0,False,53.619744635924874
CUST-00047,2023-09-11,mid_market,51-200,Retail,Enterprise,229,early_bird,0.15,194.65,False,65.09255666436577
CUST-00048,2022-09-28,startup,1-10,Other,Enterprise,179,none,0.0,179.0,True,56.47255635178078
CUST-00049,2022-02-14,smb,11-50,Finance,Pro,79,none,0.0,79.0,False,11.791465857203605
CUST-00050,2023-04-16,startup,1-10,Other,Basic,29,none,0.0,29.0,False,79.25848661727991
CUST-00051,2023-07-04,smb,11-50,Finance,Basic,29,none,0.0,29.0,False,82.03855631221921
CUST-00052,2022-05-08,mid_market,51-200,Healthcare,Basic,34,none,0.0,34.0,False,77.20634241723154
CUST-00053,2023-01-23,mid_market,51-200,Other,Enterprise,199,none,0.0,199.0,True,49.197242548432115
CUST-00054,2022-03-22,mid_market,51-200,Other,Pro,79,none,0.0,79.0,False,15.492985959431232
CUST-00055,2023-07-20,startup,1-10,Finance,Basic,29,none,0.0,29.0,False,67.82181034699107
CUST-00056,2022-10-28,mid_market,51-200,Other,Pro,99,none,0.0,99.0,False,58.97864452033008
CUST-00057,2023-10-06,startup,1-10,Finance,Basic,29,early_bird,0.15,24.65,False,32.60284833808698
CUST-00058,2023-09-26,startup,1-10,Healthcare,Basic,34,seasonal,0.2,27.200000000000003,False,36.06759191725983
CUST-00059,2023-01-06,enterprise,200+,Finance,Enterprise,179,none,0.0,179.0,False,75.12351145722883
CUST-00060,2023-08-15,mid_market,51-200,Finance,Pro,69,retention,0.3,48.3,False,43.98792153292683
CUST-00061,2022-07-16,smb,11-50,Finance,Basic,29,none,0.0,29.0,False,31.883510970547384
CUST-00062,2023-12-23,startup,1-10,Retail,Basic,24,none,0.0,24.0,False,66.53238717385871
CUST-00063,2022-03-13,startup,1-10,Finance,Basic,24,none,0.0,24.0,False,54.59776881867533
CUST-00064,2022-02-16,startup,1-10,Other,Basic,34,none,0.0,34.0,False,80.39724667657507
CUST-00065,2023-11-09,smb,11-50,Finance,Basic,24,early_bird,0.15,20.4,False,17.13185749566326
CUST-00066,2022-08-22,smb,11-50,Retail,Pro,99,none,0.0,99.0,False,87.94582913179882
CUST-00067,2022-10-24,startup,1-10,Technology,Basic,39,annual_upfront,0.25,29.25,True,47.971659175676834
CUST-00068,2022-03-23,startup,1-10,Finance,Enterprise,249,none,0.0,249.0,False,45.65486859843668
CUST-00069,2022-08-27,mid_market,51-200,Technology,Pro,79,none,0.0,79.0,False,28.21456513569088
CUST-00070,2022-04-14,startup,1-10,Technology,Basic,34,none,0.0,34.0,False,85.40476001487878
CUST-00071,2023-01-25,startup,1-10,Technology,Basic,39,none,0.0,39.0,False,70.36956816171525
CUST-00072,2022-10-12,startup,1-10,Finance,Pro,99,retention,0.3,69.3,True,54.72116722221894
CUST-00073,2023-04-10,startup,1-10,Other,Pro,79,seasonal,0.2,63.2,False,42.152378100987555
CUST-00074,2023-10-13,mid_market,51-200,Finance,Pro,99,none,0.0,99.0,False,29.94265644271347
CUST-00075,2023-01-09,startup,1-10,Finance,Basic,29,early_bird,0.15,24.65,False,2.591945639842545
CUST-00076,2022-06-16,smb,11-50,Finance,Basic,34,early_bird,0.15,28.9,False,33.15828268142301
CUST-00077,2023-01-15,smb,11-50,Healthcare,Basic,29,seasonal,0.2,23.200000000000003,False,75.68838923694094
CUST-00078,2022-12-30,startup,1-10,Retail,Basic,24,early_bird,0.15,20.4,False,49.849632437016794
CUST-00079,2022-08-03,smb,11-50,Healthcare,Basic,24,annual_upfront,0.25,18.0,False,19.3990719423148
CUST-00080,2023-11-18,mid_market,51-200,Other,Enterprise,249,annual_upfront,0.25,186.75,False,26.318741925112715
CUST-00081,2022-10-01,smb,11-50,Technology,Pro,99,annual_upfront,0.25,74.25,False,75.61409802518143
CUST-00082,2023-12-20,startup,1-10,Retail,Pro,69,early_bird,0.15,58.65,True,62.75908419037255
CUST-00083,2023-12-01,smb,11-50,Technology,Pro,89,none,0.0,89.0,False,22.913492572519903
CUST-00084,2023-10-26,smb,11-50,Retail,Basic,39,none,0.0,39.0,False,77.74945851840822
CUST-00085,2022-03-15,startup,1-10,Other,Basic,39,annual_upfront,0.25,29.25,False,17.571673369467874
CUST-00086,2023-09-16,startup,1-10,Healthcare,Pro,79,early_bird,0.15,67.14999999999999,False,49.18410229744501
CUST-00087,2023-10-13,startup,1-10,Retail,Pro,79,none,0.0,79.0,False,59.50687513585755
CUST-00088,2022-06-25,startup,1-10,Other,Basic,34,none,0.0,34.0,False,86.3112589697258
CUST-00089,2023-07-01,startup,1-10,Retail,Pro,99,annual_upfront,0.25,74.25,False,74.36126288785817
CUST-00090,2022-09-08,startup,1-10,Finance,Basic,34,annual_upfront,0.25,25.5,True,18.64544727833737
CUST-00091,2022-06-17,startup,1-10,Retail,Basic,29,none,0.0,29.0,True,27.210758956188975
CUST-00092,2023-04-19,startup,1-10,Finance,Pro,79,seasonal,0.2,63.2,True,23.74213914056787
CUST-00093,2023-01-24,smb,11-50,Retail,Pro,89,none,0.0,89.0,False,49.27407402532262
CUST-00094,2022-10-04,mid_market,51-200,Healthcare,Pro,79,early_bird,0.15,67.14999999999999,False,33.097508600923305
CUST-00095,2023-10-18,startup,1-10,Healthcare,Pro,79,early_bird,0.15,67.14999999999999,False,33.345887948908164
CUST-00096,2023-12-06,startup,1-10,Finance,Basic,34,none,0.0,34.0,True,69.81166918027266
CUST-00097,2023-07-25,smb,11-50,Other,Basic,34,annual_upfront,0.25,25.5,False,15.279521775138749
CUST-00098,2022-08-13,mid_market,51-200,Healthcare,Enterprise,229,early_bird,0.15,194.65,False,10.986403377291246
CUST-00099,2023-12-03,smb,11-50,Other,Pro,69,none,0.0,69.0,False,76.49732048886615
CUST-00100,2022-11-29,smb,11-50,Other,Pro,99,early_bird,0.15,84.14999999999999,False,48.0161693702723
CUST-00101,2022-02-27,mid_market,51-200,Healthcare,Enterprise,229,retention,0.3,160.29999999999998,False,6.215910017461167
CUST-00102,2022-08-23,smb,11-50,Healthcare,Basic,39,retention,0.3,27.299999999999997,False,56.77513401100034
CUST-00103,2022-02-02,mid_market,51-200,Technology,Pro,79,seasonal,0.2,63.2,True,4.625955255094418
CUST-00104,2022-11-20,smb,11-50,Finance,Pro,79,none,0.0,79.0,False,51.97846524424212
CUST-00105,2023-02-15,enterprise,200+,Retail,Enterprise,199,none,0.0,199.0,True,59.93599099294805
CUST-00106,2022-10-02,smb,11-50,Healthcare,Basic,34,none,0.0,34.0,False,95.39559779772402
CUST-00107,2022-03-09,startup,1-10,Finance,Pro,69,none,0.0,69.0,False,26.83606716777531
CUST-00108,2022-08-05,startup,1-10,Healthcare,Pro,79,none,0.0,79.0,True,28.19825999810105
CUST-00109,2023-08-04,smb,11-50,Healthcare,Pro,69,none,0.0,69.0,False,36.336776721971326
CUST-00110,2022-11-19,startup,1-10,Finance,Pro,69,none,0.0,69.0,False,48.58010206910316
CUST-00111,2022-08-06,startup,1-10,Retail,Basic,24,early_bird,0.15,20.4,True,34.504311777007345
CUST-00112,2023-11-03,startup,1-10,Healthcare,Basic,24,annual_upfront,0.25,18.0,False,8.692740748769571
CUST-00113,2023-05-27,startup,1-10,Finance,Basic,34,annual_upfront,0.25,25.5,False,52.43815392944683
CUST-00114,2023-02-10,startup,1-10,Retail,Basic,24,seasonal,0.2,19.200000000000003,False,47.744846025111045
CUST-00115,2023-10-21,startup,1-10,Healthcare,Pro,79,seasonal,0.2,63.2,False,29.49298974300279
CUST-00116,2023-04-15,startup,1-10,Finance,Basic,39,annual_upfront,0.25,29.25,True,41.2297141570381
CUST-00117,2022-05-27,smb,11-50,Retail,Enterprise,179,seasonal,0.2,143.20000000000002,True,33.24514471488011
CUST-00118,2022-09-29,smb,11-50,Other,Pro,79,none,0.0,79.0,False,15.762131207664906
CUST-00119,2022-05-23,startup,1-10,Healthcare,Pro,89,none,0.0,89.0,False,76.74899943107035
CUST-00120,2022-09-10,startup,1-10,Retail,Pro,89,seasonal,0.2,71.2,False,37.278049089574324
CUST-00121,2023-07-29,mid_market,51-200,Other,Enterprise,249,none,0.0,249.0,False,75.19804247267068
CUST-00122,2023-07-06,mid_market,51-200,Retail,Pro,69,none,0.0,69.0,False,6.942060266458672
CUST-00123,2022-09-27,startup,1-10,Retail,Basic,39,seasonal,0.2,31.200000000000003,False,64.0967051226514
CUST-00124,2023-08-22,smb,11-50,Retail,Basic,34,none,0.0,34.0,False,15.59656898663312
CUST-00125,2023-03-15,startup,1-10,Other,Basic,39,none,0.0,39.0,False,61.05835764840792
CUST-00126,2023-08-21,startup,1-10,Finance,Basic,24,retention,0.3,16.799999999999997,False,30.479897481301162
CUST-00127,2023-02-13,startup,1-10,Healthcare,Basic,29,none,0.0,29.0,False,91.71547218466203
CUST-00128,2023-01-06,startup,1-10,Healthcare,Basic,29,none,0.0,29.0,False,55.83595587111789
CUST-00129,2022-08-13,startup,1-10,Technology,Basic,34,annual_upfront,0.25,25.5,False,64.43146203639976
CUST-00130,2022-05-22,smb,11-50,Finance,Pro,79,early_bird,0.15,67.14999999999999,False,36.10608841784851
CUST-00131,2023-06-06,smb,11-50,Retail,Pro,79,none,0.0,79.0,False,46.205090244314256
CUST-00132,2023-05-21,enterprise,200+,Finance,Enterprise,249,annual_upfront,0.25,186.75,False,11.417559433692217
CUST-00133,2022-04-04,startup,1-10,Technology,Basic,24,none,0.0,24.0,True,36.968290728218555
CUST-00134,2022-02-18,mid_market,51-200,Healthcare,Enterprise,249,none,0.0,249.0,False,36.6121569246019
CUST-00135,2022-04-23,smb,11-50,Finance,Pro,79,seasonal,0.2,63.2,False,60.5369758784824
CUST-00136,2022-06-06,smb,11-50,Healthcare,Pro,89,seasonal,0.2,71.2,False,61.67120321993753
CUST-00137,2023-10-05,mid_market,51-200,Technology,Pro,99,early_bird,0.15,84.14999999999999,False,58.535230207635266
CUST-00138,2022-06-13,startup,1-10,Finance,Pro,99,none,0.0,99.0,False,30.892716297843535
CUST-00139,2023-11-28,smb,11-50,Technology,Basic,24,none,0.0,24.0,False,64.43413481408105
CUST-00140,2023-03-09,startup,1-10,Retail,Basic,24,annual_upfront,0.25,18.0,False,35.164105961876785
CUST-00141,2023-09-03,enterprise,200+,Finance,Pro,69,annual_upfront,0.25,51.75,True,64.17441540763146
CUST-00142,2022-03-07,startup,1-10,Healthcare,Basic,24,none,0.0,24.0,False,13.09038378467394
CUST-00143,2023-01-30,smb,11-50,Healthcare,Basic,29,none,0.0,29.0,False,26.951137366872995
CUST-00144,2023-01-26,startup,1-10,Healthcare,Basic,34,none,0.0,34.0,False,48.50263274208131
CUST-00145,2023-09-03,mid_market,51-200,Technology,Enterprise,229,annual_upfront,0.25,171.75,False,58.34262504222263
CUST-00146,2023-04-25,smb,11-50,Technology,Pro,79,retention,0.3,55.3,True,39.493957511739644
CUST-00147,2023-06-26,smb,11-50,Healthcare,Pro,99,seasonal,0.2,79.2,False,30.38184125454767
CUST-00148,2022-09-15,startup,1-10,Other,Basic,24,none,0.0,24.0,False,95.4914562397888
CUST-00149,2023-07-21,smb,11-50,Healthcare,Basic,34,early_bird,0.15,28.9,False,25.99132540424534
CUST-00150,2022-01-12,mid_market,51-200,Healthcare,Enterprise,179,none,0.0,179.0,False,14.564815502133364
CUST-00151,2023-11-28,smb,11-50,Finance,Pro,99,retention,0.3,69.3,True,37.949186818892
CUST-00152,2022-04-28,mid_market,51-200,Other,Pro,79,none,0.0,79.0,False,53.04764340156751
CUST-00153,2023-11-30,startup,1-10,Healthcare,Basic,29,none,0.0,29.0,False,50.50228339219088
CUST-00154,2023-07-04,smb,11-50,Retail,Pro,99,seasonal,0.2,79.2,False,35.49113564374712
CUST-00155,2022-10-01,smb,11-50,Retail,Basic,24,early_bird,0.15,20.4,False,49.081184653603835
CUST-00156,2023-10-19,mid_market,51-200,Retail,Enterprise,249,early_bird,0.15,211.65,False,73.77126791529032
CUST-00157,2022-12-15,startup,1-10,Technology,Basic,24,none,0.0,24.0,False,53.7461246072577
CUST-00158,2022-04-25,startup,1-10,Technology,Basic,39,none,0.0,39.0,False,65.79829666904767
CUST-00159,2022-10-28,smb,11-50,Finance,Pro,69,none,0.0,69.0,False,23.98798454325136
CUST-00160,2023-03-22,startup,1-10,Finance,Basic,39,none,0.0,39.0,False,66.8158289239694
CUST-00161,2022-06-11,smb,11-50,Healthcare,Basic,39,early_bird,0.15,33.15,False,81.56075935075808
CUST-00162,2023-04-10,startup,1-10,Retail,Basic,29,early_bird,0.15,24.65,False,12.762562016299315
CUST-00163,2022-01-04,smb,11-50,Retail,Basic,39,none,0.0,39.0,False,33.48267358267874
CUST-00164,2022-09-27,startup,1-10,Retail,Basic,39,none,0.0,39.0,False,72.87169207062703
CUST-00165,2023-05-28,mid_market,51-200,Healthcare,Enterprise,179,annual_upfront,0.25,134.25,False,60.79682741684813
CUST-00166,2022-07-02,startup,1-10,Retail,Basic,24,early_bird,0.15,20.4,False,34.00942635481612
CUST-00167,2023-06-04,smb,11-50,Healthcare,Pro,99,annual_upfront,0.25,74.25,True,32.787174600556355
CUST-00168,2022-04-19,startup,1-10,Healthcare,Basic,29,none,0.0,29.0,False,67.77705699965726
CUST-00169,2023-10-03,smb,11-50,Other,Pro,89,none,0.0,89.0,False,68.68403608406807
CUST-00170,2022-11-02,smb,11-50,Retail,Basic,24,early_bird,0.15,20.4,False,98.74937633866453
CUST-00171,2023-10-17,smb,11-50,Finance,Basic,29,early_bird,0.15,24.65,False,66.59356112686434
CUST-00172,2023-06-04,mid_market,51-200,Finance,Enterprise,229,retention,0.3,160.29999999999998,False,52.50485768846331
CUST-00173,2023-09-16,smb,11-50,Retail,Pro,99,retention,0.3,69.3,False,55.826957037440025
CUST-00174,2022-07-23,startup,1-10,Finance,Pro,79,seasonal,0.2,63.2,False,73.11360792526047
CUST-00175,2022-06-06,startup,1-10,Other,Basic,34,none,0.0,34.0,False,61.15499768537275
CUST-00176,2023-01-18,startup,1-10,Retail,Basic,24,none,0.0,24.0,True,16.851675454910097
CUST-00177,2022-06-15,startup,1-10,Retail,Basic,29,none,0.0,29.0,False,17.349721003606174
CUST-00178,2023-07-07,startup,1-10,Technology,Enterprise,179,retention,0.3,125.3,False,63.90748532395681
CUST-00179,2023-06-28,mid_market,51-200,Technology,Enterprise,229,seasonal,0.2,183.20000000000002,False,46.09063433026641
CUST-00180,2022-01-01,smb,11-50,Finance,Pro,69,none,0.0,69.0,True,36.53629787924895
CUST-00181,2023-09-06,smb,11-50,Finance,Pro,89,none,0.0,89.0,False,60.91764453877039
CUST-00182,2022-11-28,smb,11-50,Retail,Pro,99,none,0.0,99.0,False,55.5828036991266
CUST-00183,2023-05-16,smb,11-50,Technology,Basic,39,early_bird,0.15,33.15,False,45.983384608811065
CUST-00184,2022-01-20,startup,1-10,Retail,Basic,29,early_bird,0.15,24.65,False,66.40475622962639
CUST-00185,2022-04-25,smb,11-50,Other,Pro,79,annual_upfront,0.25,59.25,True,60.1488472229872
CUST-00186,2023-01-07,smb,11-50,Healthcare,Pro,89,annual_upfront,0.25,66.75,False,43.10656589954528
CUST-00187,2022-11-11,startup,1-10,Other,Basic,29,retention,0.3,20.299999999999997,False,68.93262745900334
CUST-00188,2022-09-03,enterprise,200+,Finance,Enterprise,229,annual_upfront,0.25,171.75,False,25.855905843359135
CUST-00189,2022-03-01,startup,1-10,Healthcare,Basic,39,early_bird,0.15,33.15,False,62.617931593141286
CUST-00190,2022-09-04,startup,1-10,Healthcare,Basic,39,annual_upfront,0.25,29.25,False,55.61787999320054
CUST-00191,2023-08-04,startup,1-10,Retail,Basic,39,none,0.0,39.0,False,90.10494078360188
CUST-00192,2022-03-22,startup,1-10,Retail,Pro,69,none,0.0,69.0,False,23.535525334929638
CUST-00193,2022-03-29,smb,11-50,Retail,Pro,69,none,0.0,69.0,True,62.48401266986172
CUST-00194,2023-05-13,smb,11-50,Healthcare,Basic,39,none,0.0,39.0,False,38.17718572802288
CUST-00195,2022-03-12,smb,11-50,Other,Basic,39,none,0.0,39.0,False,97.87123147529184
CUST-00196,2023-06-30,startup,1-10,Retail,Basic,29,none,0.0,29.0,True,81.5372450683407
CUST-00197,2022-05-09,mid_market,51-200,Technology,Pro,79,retention,0.3,55.3,False,72.05124930090304
CUST-00198,2022-05-12,startup,1-10,Technology,Pro,79,annual_upfront,0.25,59.25,False,27.274476556406945
CUST-00199,2023-11-07,smb,11-50,Healthcare,Pro,69,none,0.0,69.0,False,59.99623294632775
CUST-00200,2023-05-02,smb,11-50,Technology,Pro,79,none,0.0,79.0,True,70.43994865235366
CUST-00201,2023-07-17,startup,1-10,Healthcare,Basic,39,none,0.0,39.0,False,58.36467799963282
CUST-00202,2022-06-19,startup,1-10,Finance,Basic,39,none,0.0,39.0,False,98.14734144718793
CUST-00203,2022-09-29,mid_market,51-200,Other,Basic,39,early_bird,0.15,33.15,False,89.7206054090672
CUST-00204,2023-06-25,enterprise,200+,Technology,Pro,89,seasonal,0.2,71.2,False,37.70788087998699
CUST-00205,2023-09-14,startup,1-10,Technology,Basic,39,none,0.0,39.0,False,62.15643707171075
CUST-00206,2023-03-10,smb,11-50,Other,Basic,29,annual_upfront,0.25,21.75,False,44.9003388299831
CUST-00207,2022-08-05,smb,11-50,Retail,Pro,79,none,0.0,79.0,False,65.87535279060278
CUST-00208,2023-07-07,mid_market,51-200,Retail,Enterprise,229,none,0.0,229.0,False,33.958032776280064
CUST-00209,2023-12-08,mid_market,51-200,Retail,Basic,24,none,0.0,24.0,False,12.487994458563051
CUST-00210,2022-07-25,mid_market,51-200,Retail,Pro,89,none,0.0,89.0,False,11.189764663062611
CUST-00211,2022-11-16,smb,11-50,Healthcare,Pro,89,none,0.0,89.0,False,74.90398876175686
CUST-00212,2023-02-13,mid_market,51-200,Retail,Enterprise,199,none,0.0,199.0,False,49.30902671424735
CUST-00213,2023-11-19,startup,1-10,Technology,Basic,29,retention,0.3,20.299999999999997,False,28.619091776631784
CUST-00214,2023-10-28,enterprise,200+,Healthcare,Enterprise,179,none,0.0,179.0,False,28.99456541983786
CUST-00215,2023-01-18,smb,11-50,Finance,Pro,79,none,0.0,79.0,False,61.995844703290906
CUST-00216,2023-03-25,smb,11-50,Technology,Pro,89,annual_upfront,0.25,66.75,False,92.54960258929249
CUST-00217,2023-06-14,startup,1-10,Finance,Pro,99,none,0.0,99.0,False,62.15552160409028
CUST-00218,2023-04-08,smb,11-50,Finance,Pro,79,seasonal,0.2,63.2,False,26.145982667117014
CUST-00219,2022-05-04,smb,11-50,Technology,Basic,34,none,0.0,34.0,False,27.45357355503794
CUST-00220,2022-09-11,smb,11-50,Other,Pro,89,none,0.0,89.0,False,55.91744607732706
CUST-00221,2022-08-19,mid_market,51-200,Finance,Enterprise,199,seasonal,0.2,159.20000000000002,False,27.385568950114337
CUST-00222,2022-03-07,mid_market,51-200,Finance,Pro,89,none,0.0,89.0,False,40.72584781808871
CUST-00223,2022-12-13,startup,1-10,Finance,Pro,89,retention,0.3,62.3,False,74.23615487889067
CUST-00224,2022-01-22,startup,1-10,Technology,Pro,69,none,0.0,69.0,False,55.711545690498696
CUST-00225,2023-08-26,startup,1-10,Retail,Basic,29,early_bird,0.15,24.65,True,42.27188697809393
CUST-00226,2023-07-22,startup,1-10,Retail,Basic,24,annual_upfront,0.25,18.0,False,32.4469764121065
CUST-00227,2022-08-24,smb,11-50,Finance,Basic,24,early_bird,0.15,20.4,True,24.721592984168513
CUST-00228,2023-08-26,smb,11-50,Other,Pro,69,none,0.0,69.0,True,42.66060642265202
CUST-00229,2022-08-14,smb,11-50,Retail,Basic,29,seasonal,0.2,23.200000000000003,False,42.4231153877886
CUST-00230,2022-01-08,smb,11-50,Healthcare,Basic,24,none,0.0,24.0,True,40.55500495250307
CUST-00231,2022-03-14,smb,11-50,Technology,Pro,79,early_bird,0.15,67.14999999999999,False,45.79963443797731
CUST-00232,2023-12-26,startup,1-10,Healthcare,Basic,29,none,0.0,29.0,False,60.398248688851
CUST-00233,2023-10-09,smb,11-50,Other,Basic,34,annual_upfront,0.25,25.5,False,41.998613831173905
CUST-00234,2022-03-02,startup,1-10,Other,Basic,34,none,0.0,34.0,False,84.07462687461229
CUST-00235,2022-08-23,enterprise,200+,Other,Enterprise,179,early_bird,0.15,152.15,True,32.672608564397436
CUST-00236,2022-03-11,smb,11-50,Technology,Basic,34,none,0.0,34.0,False,28.717149771649353
CUST-00237,2022-02-02,smb,11-50,Healthcare,Pro,89,early_bird,0.15,75.64999999999999,True,50.33862732106186
CUST-00238,2022-12-05,smb,11-50,Retail,Pro,79,none,0.0,79.0,True,86.92913414666032
CUST-00239,2022-03-14,startup,1-10,Retail,Basic,34,none,0.0,34.0,False,72.91184801749712
CUST-00240,2023-06-11,smb,11-50,Finance,Pro,79,none,0.0,79.0,False,93.49176225897897
CUST-00241,2022-09-01,mid_market,51-200,Technology,Basic,34,early_bird,0.15,28.9,False,30.270047759890662
CUST-00242,2022-10-13,startup,1-10,Retail,Pro,89,none,0.0,89.0,True,78.0072628944792
CUST-00243,2023-11-17,mid_market,51-200,Technology,Pro,99,none,0.0,99.0,False,42.897608629495814
CUST-00244,2023-05-13,startup,1-10,Finance,Pro,89,none,0.0,89.0,True,74.21254146133988
CUST-00245,2022-08-08,startup,1-10,Retail,Basic,34,annual_upfront,0.25,25.5,False,30.40631669111582
CUST-00246,2023-07-07,startup,1-10,Technology,Enterprise,199,early_bird,0.15,169.15,True,21.68907883930426
CUST-00247,2022-05-16,startup,1-10,Retail,Pro,69,none,0.0,69.0,True,70.63783162360022
CUST-00248,2023-08-08,smb,11-50,Finance,Enterprise,179,early_bird,0.15,152.15,False,47.669264282876924
CUST-00249,2023-08-14,mid_market,51-200,Technology,Pro,89,none,0.0,89.0,True,54.42129514594832
CUST-00250,2023-04-30,smb,11-50,Finance,Pro,89,annual_upfront,0.25,66.75,True,34.61791482382062
CUST-00251,2022-09-06,startup,1-10,Retail,Enterprise,229,none,0.0,229.0,False,24.96198865263587
CUST-00252,2023-04-30,smb,11-50,Technology,Pro,89,none,0.0,89.0,False,83.6093325441424
CUST-00253,2023-02-21,smb,11-50,Technology,Pro,89,early_bird,0.15,75.64999999999999,False,11.98907474814908
CUST-00254,2022-07-14,startup,1-10,Healthcare,Basic,34,early_bird,0.15,28.9,False,80.53510945205264
CUST-00255,2022-04-07,startup,1-10,Finance,Basic,39,annual_upfront,0.25,29.25,False,57.12177558932243
CUST-00256,2022-04-10,smb,11-50,Other,Pro,69,none,0.0,69.0,True,49.668283791714586
